Год,Малые,Средние,Крупные
1999,94.619,4.174,2.038
2000,103.825,3.865,1.738
2001,117.351,3.842,1.742
2002,129.001,3.737,1.770
2003,136.970,3.856,1.803
2004,150.146,3.932,1.849
2005,167.581,4.155,1.885
2006,168.458,4.356,1.980
2007,173.937,4.620,2.089
2008,169.356,5.155,2.206
2009,188.800,5.230,2.223
2010,179.553,5.342,2.266
2011,169.769,5.557,2.258
2012,166.948,5.754,2.251
2013,175.189,5.778,2.355
2014,189.422,6.010,2.397
2015,212.925,6.311,2.419
2016,227.613,6.128,2.362
2017,247.770,6.050,2.302
2018,271.208,6.105,2.407
2019,299.662,6.004,2.345

